AM02265	NULL
AM02294	NULL
AM02301	NULL
AM02306	NULL
AM02313	NULL
AM02321	NULL
AM02325	NULL
AM02356	NULL
AM02360	NULL
AM02379	NULL
AM02448	GB16896
AM02476	NULL
AM02484	NULL
AM02499	NULL
AM02506	NULL
AM02508	NULL
AM02524	NULL
AM02526	NULL
AM02540	NULL
AM02543	GB17816
AM02560	NULL
AM02562	NULL
AM02574	NULL
AM02586	NULL
AM02623	NULL
AM02630	GB30418
AM02632	GB10003
AM02638	GB10009
AM02675	GB10047
AM02705	GB10077
AM02722	GB10094
AM02750	GB10122
AM02767	GB10139
AM02801	GB10173
AM02818	GB10191
AM02843	GB10216
AM02865	GB10238
AM02905	GB10275
AM02914	GB10284
AM02940	GB10310
AM02963	GB10333
AM02967	GB10337
AM02985	GB10355
AM03034	GB10406
AM03104	GB10477
AM03173	GB10546
AM03180	GB10553
AM03195	GB10568
AM03211	GB10584
AM03263	GB10637
AM03285	GB10658
AM03293	GB10666
AM03295	GB10669
AM03376	GB10751
AM03383	GB10758
AM03402	GB10777
AM03407	GB10782
AM03409	GB10784
AM03418	GB10793
AM03420	GB10795
AM03445	GB10820
AM03479	GB10854
AM03481	GB30235
AM03485	GB10860
AM03486	GB10861
AM03494	GB10869
AM03514	GB10889
AM03528	GB10903
AM03530	GB10905
AM03538	GB10913
AM03541	GB10916
AM03551	GB10926
AM03590	GB10967
AM03617	GB10995
AM03618	GB10995
AM03619	GB10995
AM03641	GB11017
AM03646	GB11022
AM03647	GB11023
AM03659	GB11035
AM03713	GB11089
AM03716	GB11092
AM03737	GB11113
AM03746	GB11122
AM03755	GB11131
AM03764	GB30057
AM03770	GB11146
AM03805	GB11181
AM03814	GB11191
AM03826	GB11203
AM03833	GB11210
AM03874	GB11251
AM03883	GB11260
AM03886	GB11263
AM03887	GB11264
AM03903	GB11280
AM03909	GB11286
AM03919	GB11296
AM03944	GB11322
AM03950	GB11328
AM03993	GB11370
AM04052	GB11431
AM04056	GB11435
AM04077	GB11456
AM04087	GB11466
AM04109	GB11489
AM04136	GB11516
AM04166	GB11546
AM04193	GB11573
AM04203	GB11583
AM04216	GB11596
AM04234	GB11614
AM04249	GB11629
AM04262	GB11642
AM04294	GB11674
AM04309	GB11689
AM04318	GB11698
AM04320	GB11700
AM04323	GB11703
AM04381	GB11762
AM04390	GB11771
AM04409	GB11790
AM04433	GB11814
AM04462	GB11843
AM04469	GB11850
AM04551	GB11934
AM04552	GB11935
AM04565	GB11947
AM04574	GB11956
AM04600	GB11983
AM04607	GB11990
AM04615	GB11998
AM04621	GB12004
AM04637	GB12020
AM04639	GB12022
AM04652	GB12035
